"title","score","term","other","quote"
"肖申克的救赎",9.7,"希望让人自由。","月黑高飞(港)    刺激1995(台)","希望让人自由。"
"霸王别姬",9.6,"风华绝代。","再见，我的妾    Farewell My Concubine","风华绝代。"
"阿甘正传",9.5,"一部美国近现代史。","福雷斯特·冈普","一部美国近现代史。"
"泰坦尼克号",9.5,"失去的才是永恒的。 ","铁达尼号(港  台)","失去的才是永恒的。"
"这个杀手不太冷",9.4,"怪蜀黍和小萝莉不得不说的故事。","终极追杀令(台)    杀手莱昂","怪蜀黍和小萝莉不得不说的故事。"
"千与千寻",9.4,"最好的宫崎骏，最好的久石让。 ","神隐少女(台)    千与千寻的神隐","最好的宫崎骏，最好的久石让。"
"美丽人生",9.6,"最美的谎言。","一个快乐的传说(港)    Life Is Beautiful","最美的谎言。"
"星际穿越",9.4,"爱是一种力量，让我们超越时空感知它的存在。","星际启示录(港)    星际效应(台)","爱是一种力量，让我们超越时空感知它的存在。"
"辛德勒的名单",9.6,"拯救一个人，就是拯救整个世界。","舒特拉的名单(港)    辛德勒名单","拯救一个人，就是拯救整个世界。"
"盗梦空间",9.4,"诺兰给了我们一场无法盗取的梦。","潜行凶间(港)    全面启动(台)","诺兰给了我们一场无法盗取的梦。"
"楚门的世界",9.4,"如果再也不能见到你，祝你早安，午安，晚安。","真人Show(港)    真人戏","如果再也不能见到你，祝你早安，午安，晚安。"
"忠犬八公的故事",9.4,"永远都不能忘记你所爱的人。","秋田犬八千(港)    忠犬小八(台)","永远都不能忘记你所爱的人。"
"海上钢琴师",9.3,"每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ","声光伴我飞(港)    一九零零的传奇","每个人都要走一条自己坚定了的路，就算是粉身碎骨。"
"三傻大闹宝莱坞",9.2,"英俊版憨豆，高情商版谢耳朵。","三个傻瓜(台)    作死不离3兄弟(港)","英俊版憨豆，高情商版谢耳朵。"
"放牛班的春天",9.3,"天籁一般的童声，是最接近上帝的存在。 ","歌声伴我心(港)    唱诗班男孩","天籁一般的童声，是最接近上帝的存在。"
"机器人总动员",9.3,"小瓦力，大人生。","太空奇兵·威E(港)    瓦力(台)","小瓦力，大人生。"
"疯狂动物城",9.2,"迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。","优兽大都会(港)    动物方城市(台)","迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。"
"无间道",9.3,"香港电影史上永不过时的杰作。","Infernal Affairs    Mou gaan dou","香港电影史上永不过时的杰作。"
"控方证人",9.6,"比利·怀德满分作品。","雄才伟略    情妇","比利·怀德满分作品。"
"大话西游之大圣娶亲",9.2,"一生所爱。","西游记完结篇仙履奇缘    齐天大圣西游记","一生所爱。"
"熔炉",9.4,"我们一路奋战不是为了改变世界，而是为了不让世界改变我们。","无声呐喊(港)    漩涡","我们一路奋战不是为了改变世界，而是为了不让世界改变我们。"
"教父",9.3,"千万不要记恨你的对手，这样会让你失去理智。","Mario Puzo's The Godfather","千万不要记恨你的对手，这样会让你失去理智。"
"触不可及",9.3,"满满温情的高雅喜剧。","闪亮人生(港)    逆转人生(台)","满满温情的高雅喜剧。"
"当幸福来敲门",9.2,"平民励志片。 ","寻找快乐的故事(港)    追求快乐","平民励志片。"
